W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
27,10,41,41,30,8,0,1039,257,76,17,87,310,0.2,1.97,8,8,1,2,1351,0,84,0,0,0,1972,1
24,16,41,40,29,5,1,1028,253,73,17,82,234,0.2,1.92,16,11,12,0,1345,1,79,0,0,0,1972,1
31,6,41,41,28,6,0,1008,241,73,31,63,280,0.2,1.96,2,3,6,0,1288,0,86,0,0,0,1968,1
24,13,39,39,30,3,0,975,304,100,29,37,263,0.24,2.77,6,3,5,4,1299,0,114,0,0,0,1971,1
24,9,42,41,23,9,0,975,288,101,25,67,181,0.23,2.8,7,5,4,2,1304,0,105,0,0,0,1969,1
23,11,39,38,25,10,1,969,253,75,20,80,193,0.21,2.09,4,4,2,0,1268,1,87,0,0,0,1975,1
25,12,41,41,23,6,0,955,268,88,25,46,143,0.22,2.49,2,1,4,0,1240,0,97,0,0,0,1974,1
22,14,40,40,25,5,0,946,274,96,15,50,93,0.23,2.74,9,0,4,1,1251,0,109,0,0,0,1976,1
22,13,40,40,23,6,0,945,255,88,20,84,159,0.22,2.51,5,5,8,0,1256,0,101,0,0,0,1976,1
24,8,39,39,24,8,0,936,209,63,19,88,301,0.18,1.82,3,10,4,1,1207,0,73,0,0,0,1971,1
22,9,34,34,28,13,0,914,198,38,11,62,268,0.18,1.12,6,4,7,0,1161,0,49,0,0,0,1968,1
24,9,38,38,13,3,0,912,243,79,15,90,286,0.21,2.34,12,17,2,7,1228,0,87,0,0,0,1980,1
22,9,38,37,19,6,1,889,225,79,16,113,158,0.21,2.4,5,7,3,0,1190,1,86,0,0,0,1973,1
23,11,38,38,19,6,0,887,253,102,17,86,286,0.23,3.1,5,9,1,9,1193,0,114,0,0,0,1982,1
23,7,34,34,23,3,0,882,262,102,13,88,274,0.23,3.12,9,5,4,1,1213,0,111,0,0,0,1970,1
23,11,39,39,18,5,0,872,213,77,18,79,182,0.2,2.38,7,3,1,2,1137,0,94,0,0,0,1969,1
19,10,36,36,18,3,0,870,219,67,23,64,251,0.2,2.08,5,5,4,0,1147,0,74,0,0,0,1973,1
23,10,36,36,17,2,0,849,229,83,25,89,198,0.22,2.64,5,3,4,7,1135,0,99,0,0,0,1977,1
20,9,36,36,18,7,0,845,248,93,19,83,256,0.23,2.97,4,4,9,3,1157,0,100,0,0,0,1987,1
22,9,36,36,15,5,0,841,217,74,11,88,243,0.21,2.38,6,7,4,1,1115,0,81,0,0,0,1975,1
24,12,40,40,13,4,0,836,258,94,20,57,168,0.24,3.04,10,3,9,0,1141,0,112,0,0,0,1970,1
24,4,35,35,16,8,0,830,198,47,13,69,268,0.2,1.53,4,6,2,2,1065,0,51,0,0,0,1985,1
18,10,37,37,7,5,0,826,182,68,17,72,306,0.18,2.22,6,3,2,0,1065,0,73,0,0,0,1986,1
25,3,35,35,16,9,0,821,187,53,13,72,248,0.19,1.74,1,7,1,1,1057,0,61,0,0,0,1978,1
22,9,39,39,15,2,0,820,228,96,23,83,246,0.22,3.16,5,12,19,1,1130,0,102,0,0,0,1967,1
25,7,36,35,18,5,0,820,202,67,24,82,208,0.2,2.21,9,8,7,1,1089,1,75,0,0,0,1969,1
17,9,35,35,12,2,0,815,207,75,30,70,364,0,2.48,3,4,9,2,1079,0,86,0,0,0,1999,1
18,10,35,35,13,4,0,814,219,79,15,65,241,0.22,2.62,12,6,5,0,1077,0,93,0,0,0,1991,1
20,11,35,35,9,4,0,804,201,65,7,70,199,0.21,2.18,7,5,14,0,1061,0,68,0,0,0,1992,1
23,8,35,34,15,8,1,801,208,67,18,73,178,0.21,2.26,10,6,4,5,1068,1,73,0,0,0,1988,1
20,10,36,36,8,1,0,801,228,70,14,52,197,0.23,2.36,7,5,6,1,1064,0,85,0,0,0,1993,1
22,7,36,36,9,2,0,798,253,96,26,32,204,0.247,3.25,1,6,9,1,1071,0,111,3,2,0,2003,1
23,9,39,38,16,5,0,797,245,91,23,70,190,0.24,3.08,1,6,3,0,1085,0,107,0,0,0,1979,1
20,10,35,35,10,3,0,797,238,95,20,94,177,0.21,3.22,3,8,5,0,1100,0,105,0,0,0,1996,1
21,7,34,34,9,3,0,792,204,60,9,68,292,0.21,2.05,1,4,12,0,1044,0,65,0,0,0,1997,1
