('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 10, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 10, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.05, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 11, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.1, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 12, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.15, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 12, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.2, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 15, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.25, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 19, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.3, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 13, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.35, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 13, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.4, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 14, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.45, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 14, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.5, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 13, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.55, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 9, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.6, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 9, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.65, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 13, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.7, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 9, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.75, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 7, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.8, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 12, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.85, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 11, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.9, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 11, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.95, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 9, 'Num Test:', 38, 'Num Epochs:', 1, 'Learning Rate:', 0.99, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 87, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 98, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.05, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 83, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.1, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 93, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.15, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 95, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.2, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 93, 'Num Test:', 143, 'Num Epochs:', 1, 'Learning Rate:', 0.25, 'Train/Test Split:', 0.75)
