('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 12, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 8, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.05, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 11, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.1, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 24, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.15, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 13, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.2, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 30, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.25, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 26, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.3, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 32, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.35, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 35, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.4, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 29, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.45, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 30, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.5, 'Train/Test Split:', 0.75)
