('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 50, 'Num Test:', 149, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.01)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 48, 'Num Test:', 143, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.05)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 44, 'Num Test:', 135, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.1)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 42, 'Num Test:', 128, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.15)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 37, 'Num Test:', 120, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.2)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 34, 'Num Test:', 113, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.25)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 34, 'Num Test:', 105, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.3)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 29, 'Num Test:', 98, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.35)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 29, 'Num Test:', 90, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.4)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 25, 'Num Test:', 83, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.45)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 20, 'Num Test:', 75, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.5)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 21, 'Num Test:', 68, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.55)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 14, 'Num Test:', 60, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.6)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 17, 'Num Test:', 53, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.65)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 10, 'Num Test:', 45, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.7)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 10, 'Num Test:', 38, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.75)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 4, 'Num Test:', 30, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.8)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 8, 'Num Test:', 23, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.85)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 3, 'Num Test:', 15, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.9)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 2, 'Num Test:', 8, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.95)
('Dataset:', '../data/normalizedIrisData.csv', 'Num Correct:', 0, 'Num Test:', 2, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.99)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 211, 'Num Test:', 564, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.01)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 339, 'Num Test:', 541, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.05)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 323, 'Num Test:', 513, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.1)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 304, 'Num Test:', 484, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.15)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 283, 'Num Test:', 456, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.2)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 276, 'Num Test:', 427, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.25)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 242, 'Num Test:', 399, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.3)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 232, 'Num Test:', 370, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.35)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 217, 'Num Test:', 342, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.4)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 201, 'Num Test:', 313, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.45)
('Dataset:', '../data/normalizedCancerData.csv', 'Num Correct:', 182, 'Num Test:', 285, 'Num Epochs:', 10, 'Learning Rate:', 0.01, 'Train/Test Split:', 0.5)
